,PermitNum,PermitClass,PermitClassMapped,PermitTypeMapped,PermitTypeDesc,Description,HousingUnits,HousingUnitsRemoved,HousingUnitsAdded,EstProjectCost,AppliedDate,IssuedDate,ExpiresDate,CompletedDate,StatusCurrent,RelatedMup,OriginalAddress1,OriginalCity,OriginalState,OriginalZip,ContractorCompanyName,Link,Latitude,Longitude,Location1,TotalDaysPlanReview,DaysInitialPlanReview,DaysPlanReviewCity,DaysOutCorrections,NumberReviewCycles,InitialReviewCompleteDate,PlanReviewCompleteDate,DaysIssuePermitCity,ReadyToIssueDate,Zoning,DwellingUnitType,StandardPlan,DependentBuilding,ParentPermitNum,HousingCategory,AppliedYear,IssuedYear,CompletedYear
45439,6324767-CN,Multifamily,Residential,Building,New,CLOSED AS INCOMPLETE - EXPIRED PERMIT. Construct two unit townhouse (east of existing two unit townhouse) per plan,2,0.0,2.0,"414,000",2014-02-04,2014-08-02,2016-02-02,,Completed,3016401-LU,3010 31ST AVE W,SEATTLE,WA,98199.0,,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6324767-CN,47.64716767,-122.3964252,"(47.64716767, -122.3964252)",,,,0,0.0,,,,,L-1,Townhouse,0.0,0,,Middle Housing,2014,2014,
46147,6319667-CN,Multifamily,Residential,Building,New,7/25/16 HUD. CANCELLED IAW SBC 106.6.9. Establish use as and construct apartment building with attached covered parking and occupy  per plan,5,0.0,5.0,"681,689",2013-01-17,,,,Canceled,,134 26TH AVE E,SEATTLE,WA,98112.0,,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6319667-CN,47.61991548,-122.29833421,"(47.61991548, -122.29833421)",,,,,,,,,,,,,0,,,2013,,
47049,6325125-CN,Multifamily,Residential,Building,Addition/Alteration,Construct alterations to existing apartment building (#1) and add (1) apartment unit  and occupy per plan.(Construct alterations and additions to (35) apartment buildings./ Review and process for 35 AP's under #6325125.),1,0.0,1.0,"125,184",2013-11-15,2014-03-18,2017-03-18,2015-11-10,Completed,,9061 SEWARD PARK AVE S,SEATTLE,WA,98118.0,,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6325125-CN,47.52175647,-122.26467712,"(47.52175647, -122.26467712)",,,,0,0.0,,,,,LR3,Apartment,0.0,0,,,2013,2014,2015
47168,6317587-CN,Multifamily,Residential,Building,New,Construct apartment building and occupy per plan.,60,0.0,60.0,"2,500,381",2013-05-20,2014-02-26,2017-02-26,2016-03-31,Completed,3013403-LU,4039 8TH AVE NE,SEATTLE,WA,98105.0,,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6317587-CN,47.65673139,-122.3201138,"(47.65673139, -122.3201138)",,,,0,0.0,,,,,LR3,Apartment,0.0,0,,,2013,2014,2016
47240,6325991-CN,Multifamily,Residential,Building,New,Construct a mixed use commercial and residential building and occupy  per plan.,65,0.0,65.0,"5,188,056",2013-06-13,2014-09-06,2016-03-06,2016-02-25,Completed,3013740-LU,316 ALASKAN WAY S,SEATTLE,WA,98104.0,CHRIS PRATT,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6325991-CN,47.59951901,-122.33515587,"(47.59951901, -122.33515587)",,,,0,0.0,,,,,DMC,Apartment,0.0,0,,,2013,2014,2016
47554,6329038-CN,Multifamily,Residential,Building,New,Change use from parking to apartment and construct new apartment building with no parking  per plan.,12,0.0,12.0,"655,855",2014-03-24,2014-09-15,2016-03-15,2015-07-31,Completed,3015206-LU,1410 S KING ST,SEATTLE,WA,98144.0,,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6329038-CN,47.59855333,-122.31278597,"(47.59855333, -122.31278597)",,,,0,0.0,,,,,LR2,Apartment,0.0,0,,,2014,2014,2015
47722,6337353-CN,Multifamily,Residential,Building,New,Construct 38 unit apartment building and occupy  per plans.,38,0.0,38.0,"6,167,115",2013-01-14,2013-07-15,2015-01-15,2014-10-10,Expired,3013471-LU,120 HARVARD AVE E,SEATTLE,WA,98102.0,CHRIS PRATT,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6337353-CN,47.61933063,-122.32185165,"(47.61933063, -122.32185165)",,,,0,0.0,,,,,MR,Apartment,0.0,0,,,2013,2013,2014
48058,6321320-CN,Multifamily,Residential,Building,New,Establish use as multifamily structure  construct apartment building with below grade parking garage and occupy per plan (shoring and excavation under 6351658),118,0.0,118.0,"17,786,513",2013-04-08,2013-12-21,2016-12-21,2015-07-29,Completed,3013571-LU,528 PONTIUS AVE N,SEATTLE,WA,98109.0,,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6321320-CN,47.62383597,-122.33143982,"(47.62383597, -122.33143982)",,,,0,0.0,,,,,SM,Apartment,0.0,0,,,2013,2013,2015
48588,6304581-CN,Multifamily,Residential,Building,New,Establish use as and construct a new mulifamily residence  occupy per plan.,24,0.0,24.0,"1,770,274",2013-04-17,2013-12-30,2016-12-30,,Expired,3012956-LU,12350 33RD AVE NE,SEATTLE,WA,98125.0,BLINDHEIM COMPANY,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6304581-CN,47.71896494,-122.29247667,"(47.71896494, -122.29247667)",,,,0,0.0,,,,,"L-3, L-3","Accessory Live/Work, Apartment",0.0,0,,,2013,2013,
48960,6339555-CN,Multifamily,Residential,Building,New,Establish use as congregate residence and construct boarding house and occupy  per plan.,1,0.0,1.0,"1,508,254",2013-11-12,2014-05-22,2015-11-22,2015-10-06,Completed,,1219 E MARION ST,SEATTLE,WA,98122.0,,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6339555-CN,47.6102238,-122.31584809,"(47.6102238, -122.31584809)",,,,0,0.0,,,,,LR3,Congregate Housing,0.0,0,,Housing - Other,2013,2014,2015
49210,6345665-CN,Multifamily,Residential,Building,New,Establish use as townhouses and construct 4-unit townhouse  and occupy  per plans,4,0.0,4.0,"976,016",2013-11-14,2014-06-11,2015-12-11,2016-01-06,Completed,3015003-LU,2011 E DENNY WAY,SEATTLE,WA,98122.0,,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6345665-CN,47.61833515,-122.30565841,"(47.61833515, -122.30565841)",,,,0,0.0,,,,,NC2,Townhouse,0.0,0,,Middle Housing,2013,2014,2016
49260,6342116-CN,Multifamily,Residential,Building,New,Construct mixed use multi-family residential  (3) live/work  office and retail building with basement parking garage and occupy  per plans.,3,0.0,3.0,"5,128,279",2013-01-11,2015-07-08,2018-07-08,2017-06-21,Completed,3012787-LU,9051 20TH AVE SW,SEATTLE,WA,98106.0,,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6342116-CN,47.52136691,-122.35947138,"(47.52136691, -122.35947138)",,,,0,0.0,,,,,C1,Accessory Live/Work,0.0,0,,,2013,2015,2017
49710,6347018-CN,Multifamily,Residential,Building,Addition/Alteration,Alterations to add unit in basement of existing apartment building and occupy per plan.,1,0.0,1.0,"20,000",2013-03-21,2013-06-24,2014-12-24,,Expired,,10740 GREENWOOD AVE N,SEATTLE,WA,98133.0,HOME PATH LLC,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6347018-CN,47.70807125,-122.35507396,"(47.70807125, -122.35507396)",,,,0,0.0,,,,,,,,0,,,2013,2013,
49791,6348084-CN,Multifamily,Residential,Building,New,Establish use as multifamily structure and construct two family dwelling with attached garage per plan.,2,0.0,2.0,"287,630",2013-02-15,2013-09-10,2015-03-10,2014-05-29,Completed,3014505-LU,1128 N 90TH ST,SEATTLE,WA,98103.0,,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6348084-CN,47.69432842,-122.34308464,"(47.69432842, -122.34308464)",,,,0,0.0,,,,,LR3,Rowhouse,0.0,0,,Middle Housing,2013,2013,2014
49794,6347086-CN,Multifamily,Residential,Building,New,Construct one 2-unit rowhouse  per plan.(remove detached accessory shed),2,0.0,2.0,"329,179",2013-03-11,2014-03-13,2015-09-13,2015-06-26,Completed,3014675-LU,2419 WICKSTROM PL SW,SEATTLE,WA,98116.0,,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6347086-CN,47.5816172,-122.40222247,"(47.5816172, -122.40222247)",,,,0,0.0,,,,,LR1,Rowhouse,0.0,0,,Middle Housing,2013,2014,2015
49947,6348839-CN,Multifamily,Residential,Building,Addition/Alteration,Construct alterations to existing apartments building to convert a duplex to triplex and occupy per plan.,1,0.0,1.0,"37,065",2013-03-12,2013-05-16,2014-11-16,2014-05-21,Completed,,406 E REPUBLICAN ST,SEATTLE,WA,98102.0,DOUCETTE ENTERPRISES LLC,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6348839-CN,47.62333052,-122.326155,"(47.62333052, -122.326155)",,,,0,0.0,,,,,MR,Apartment,0.0,0,,Multifamily - Other,2013,2013,2014
49977,6310152-CN,Multifamily,Residential,Building,New,Construct mixed use building with street-level commercial use & boarding house per plans on currently vacant lot.,6,0.0,6.0,"2,741,700",2013-11-21,2014-10-10,2017-10-10,2016-08-09,Completed,3015656-LU,151 12TH AVE,SEATTLE,WA,98122.0,,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6310152-CN,47.60282807,-122.31710437,"(47.60282807, -122.31710437)",,,,0,0.0,,,,,"NC3, NC3","Apartment, Congregate Housing",0.0,0,,Housing - Other,2013,2014,2016
50127,6350232-CN,Multifamily,Residential,Building,New,Construct two townhomes with attached garages (West building B1 & B2 units) and occupy per plan.,2,0.0,2.0,"393,945",2013-09-24,2014-03-20,2017-03-20,2016-03-18,Completed,3014770-LU,3608 1ST AVE NW,SEATTLE,WA,98107.0,,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6350232-CN,47.65330478,-122.3575118,"(47.65330478, -122.3575118)",,,,0,0.0,,,,,LR2,Townhouse,0.0,0,,Middle Housing,2013,2014,2016
50186,6350970-CN,Multifamily,Residential,Building,New,Construct center single family dwelling this permit.[Establish use as and construct (3) single family dwellings with surface parking per plan. Project includes demolition of existing structures. Process and routing for (3) A/P's w/6335426.],1,0.0,1.0,"184,636",2013-01-30,2013-06-04,2014-12-04,2014-07-31,Completed,,321 22ND AVE,SEATTLE,WA,98122.0,,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6350970-CN,47.60494781,-122.30405088,"(47.60494781, -122.30405088)",,,,0,0.0,,,,,LR2,Detached Single-Family,0.0,1,6335426-CN,Housing - Other,2013,2013,2014
50260,6315826-CN,Multifamily,Residential,Building,New,Establish use as and construct new 2-unit rowhouse with attached garages per plan. Demolition of existing structure under separate application (6408706),2,0.0,2.0,"447,696",2014-03-28,2014-06-14,2015-12-14,2015-04-09,Completed,,9201 ASHWORTH AVE N,SEATTLE,WA,98103.0,MARTHA ROSE CONSTRUCTION,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6315826-CN,47.6961396,-122.34013579,"(47.6961396, -122.34013579)",,,,0,0.0,,,,,LR3,Rowhouse,0.0,0,,Middle Housing,2014,2014,2015
50332,6316424-CN,Multifamily,Residential,Building,New,Construct apartment building with below grade parking  per plan.,8,0.0,8.0,"1,528,310",2016-01-27,,,,Canceled,3013404-LU,2471 THORNDYKE AVE W,SEATTLE,WA,98199.0,,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6316424-CN,47.64116388,-122.38626277,"(47.64116388, -122.38626277)",,,,,,,,,,,,,0,,,2016,,
50345,6312605-CN,Multifamily,Residential,Building,New,Construct three-unit townhouse style boarding house structure with below grade parking and occupy  per plans.,3,0.0,3.0,"679,199",2013-09-19,2015-06-01,2018-06-01,2018-03-29,Completed,3014407-LU,1340 15TH AVE S,SEATTLE,WA,98144.0,,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6312605-CN,47.59046692,-122.31361654,"(47.59046692, -122.31361654)",,,,0,0.0,,,,,LR2,Townhouse,0.0,0,,Middle Housing,2013,2015,2018
50351,6320278-CN,Multifamily,Residential,Building,New,Construct a three-unit townhouse and occupy per plan. Establish use as one three-unit townhouse and two single family residence with on-site parking (0review & process for 3 AP's under # 6320278).,3,0.0,3.0,"562,355",2013-01-09,2013-05-17,2014-11-17,2014-11-26,Completed,3013531-LU,1525 19TH AVE,SEATTLE,WA,98122.0,,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6320278-CN,47.61488938,-122.30795305,"(47.61488938, -122.30795305)",,,,0,0.0,,,,,LR1,Townhouse,0.0,0,,Middle Housing,2013,2013,2014
50452,6313996-PH,Multifamily,Residential,Building,New,Construction of a residential and retail building with below grade parking and occupy  per plan.,209,0.0,209.0,"29,093,278",2013-02-04,2015-06-03,2018-06-03,2017-05-31,Completed,3013235-LU,4041 ROOSEVELT WAY NE,SEATTLE,WA,98105.0,CITY INVESTORS,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6313996-PH,47.65646419,-122.31815083,"(47.65646419, -122.31815083)",,,,0,0.0,,,,,C1,Apartment,0.0,0,,,2013,2015,2017
50480,6321431-CN,Multifamily,Residential,Building,New,Establish use as a multifamily structure and construct 4 new townhouses per plan.,4,0.0,4.0,"793,261",2013-02-15,2013-05-07,2014-11-07,2014-09-30,Completed,3013539-LU,3003 S JUDKINS ST,SEATTLE,WA,98144.0,,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6321431-CN,47.59203055,-122.29313653,"(47.59203055, -122.29313653)",,,,0,0.0,,,,,LR1,Townhouse,0.0,0,,Middle Housing,2013,2013,2014
50782,6352823-PH,Multifamily,Residential,Building,New,Phased project:  Construction of a residential and retail building with below grade parking  and occupy  per plan.  Includes 16 live work spaces.,151,0.0,151.0,"19,380,313",2013-12-12,2014-05-14,2017-05-14,2015-12-01,Completed,3014877-LU,4745 40TH AVE SW,SEATTLE,WA,98116.0,,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6352823-PH,47.55977042,-122.38321888,"(47.55977042, -122.38321888)",,,,0,0.0,,,,,"NC3, NC3","Accessory Live/Work, Apartment",0.0,0,,,2013,2014,2015
50826,6353218-CN,Multifamily,Residential,Building,New,CLOSED AS INCOMPLETE - EXPIRED PERMIT. Construct east (live/work) structure this permit.[Establish use and construct (1) 2-unit townhome dwelling and (1) 2-unit live/work structure  all with surface parking  and occupy  per plan]. Project included demolition of existing retail building and detached accessory structures by separate permit.,2,0.0,2.0,"372,595",2013-05-08,2013-08-24,2015-02-24,,Completed,3016224-LU,7717 15TH AVE NW,SEATTLE,WA,98117.0,,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6353218-CN,47.68566915,-122.37705836,"(47.68566915, -122.37705836)",,,,0,0.0,,,,,NC2,Accessory Live/Work,0.0,0,,Housing - Other,2013,2013,
50827,6353244-CN,Multifamily,Residential,Building,New,Establish use as and construct a five-unit rowhouse with surface parking  occupy per plan,5,0.0,5.0,"559,527",2013-04-03,2013-07-03,2016-07-03,2015-07-22,Completed,3017943-LU,131 16TH AVE,SEATTLE,WA,98122.0,,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6353244-CN,47.60257288,-122.31203821,"(47.60257288, -122.31203821)",,,,0,0.0,,,,,LR3,Rowhouse,0.0,0,,Middle Housing,2013,2013,2015
50832,6338150-CN,Multifamily,Residential,Building,New,Construct new (north) 8-unit town house with underground parking and occupy  per plan.(Establish use and construct as (3) townhouses/review and processing of 3 AP's under 6338150),8,0.0,8.0,"1,866,445",2014-04-16,2015-02-07,2018-02-07,2017-02-10,Completed,3014211-LU,301 VALLEY ST,SEATTLE,WA,98109.0,,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6338150-CN,47.62615808,-122.35131166,"(47.62615808, -122.35131166)",,,,0,0.0,,,,,LR3,Townhouse,0.0,0,,Middle Housing,2014,2015,2017
50853,6355731-CN,Multifamily,Residential,Building,New,Establish use as townhouses and construct 3-unit townhouse  per plans.,3,0.0,3.0,"489,106",2014-06-10,2014-12-02,2017-12-02,2016-12-12,Completed,3014994-LU,1523 NW 90TH ST,SEATTLE,WA,98117.0,,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6355731-CN,47.69434116,-122.37803036,"(47.69434116, -122.37803036)",,,,0,0.0,,,,,LR2,Townhouse,0.0,0,,Middle Housing,2014,2014,2016
50908,6356092-CN,Multifamily,Residential,Building,New,Construct congregate residence and establish use as a residential building and occupy  per plans.,1,0.0,1.0,"983,534",2013-05-09,2013-08-23,2015-02-23,2014-07-09,Completed,,4742 20TH AVE NE,SEATTLE,WA,98105.0,,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6356092-CN,47.66431096,-122.3062387,"(47.66431096, -122.3062387)",,,,0,0.0,,,,,LR3,Congregate Housing,0.0,0,,Housing - Other,2013,2013,2014
50913,6356231-CN,Multifamily,Residential,Building,New,Establish use as and construct south single family residence with attached gaage  per plan (Establish use as and construct 3 single family residences with attached garages  per plan 3 AP's under 6344563),1,0.0,1.0,"189,584",2013-03-08,2013-08-27,2015-02-27,2014-12-11,Completed,,628 NW 85TH ST,SEATTLE,WA,98117.0,,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6356231-CN,47.69081114,-122.36459185,"(47.69081114, -122.36459185)",,,,0,0.0,,,,,LR3,Detached Single-Family,0.0,1,6344563-CN,Housing - Other,2013,2013,2014
50982,6354185-CN,Multifamily,Residential,Building,New,Establish use as and construct (1) three unit townhouse (Mid bldg this permit) Est use as and construct (1) four unit townhouse w attached garages  and (1) three-unit townhouse  per plan (3 app's under 6317945),3,0.0,3.0,"609,433",2013-02-21,2014-03-04,2015-09-04,2015-10-14,Completed,3013417-LU,7526 43RD AVE S,SEATTLE,WA,98118.0,,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6354185-CN,47.53439445,-122.27876332,"(47.53439445, -122.27876332)",,,,0,0.0,,,,,LR2,Townhouse,0.0,1,6317945-CN,Middle Housing,2013,2014,2015
51008,6357068-CN,Multifamily,Residential,Building,Addition/Alteration,Alteration to basement of apartment building to construct (2) additional dwelling units and occupy  per,2,0.0,2.0,"78,425",2013-05-23,2013-11-30,2015-05-30,2014-09-02,Completed,,1720 E DENNY WAY,SEATTLE,WA,98122.0,,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6357068-CN,47.61868053,-122.30908723,"(47.61868053, -122.30908723)",,,,0,0.0,,,,,LR3,Apartment,0.0,0,,Multifamily - Other,2013,2013,2014
51065,6316844-CN,Multifamily,Residential,Building,New,Construct (North) one 3-unit rowhouse  per plans. (Construct one 3-unit rowhouse & one 2-unit rowhouse  review & processing of 2 AP's under 6316844.),5,0.0,5.0,"620,706",2013-03-11,2014-03-02,2015-09-02,2015-04-29,Completed,3014675-LU,2414 55TH AVE SW,SEATTLE,WA,98116.0,,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6316844-CN,47.58187007,-122.40246826,"(47.58187007, -122.40246826)",,,,0,0.0,,,,,LR1,Rowhouse,0.0,0,,Middle Housing,2013,2014,2015
51071,6315298-CN,Multifamily,Residential,Building,New,Establish use as multi-family residential  construct apartment building with enclosed parking  and occupy  per plan.,29,0.0,29.0,"2,304,345",2013-05-30,2014-07-17,2019-01-17,2018-02-14,Expired,3013307-LU,3829 CALIFORNIA AVE SW,SEATTLE,WA,98116.0,,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6315298-CN,47.56931261,-122.38711714,"(47.56931261, -122.38711714)",,,,0,0.0,,,,,LR3,Apartment,0.0,0,,,2013,2014,2018
51078,6357519-CN,Multifamily,Residential,Building,Addition/Alteration,Construct substantial alterations to change use from duplex to triplex  and occupy per plan.,1,0.0,1.0,"50,000",2013-10-07,2014-01-09,2015-07-09,2014-12-19,Completed,,108 11TH AVE E,SEATTLE,WA,98102.0,,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6357519-CN,47.61913524,-122.31793898,"(47.61913524, -122.31793898)",,,,0,0.0,,,,,LR3,Apartment,0.0,0,,Multifamily - Other,2013,2014,2014
51128,6358055-CN,Multifamily,Residential,Building,New,Establish use as and construct new congregate residence structure and occupy per plans.,1,0.0,1.0,"1,029,394",2013-05-15,2013-12-23,2015-06-23,2014-07-23,Completed,,4735 21ST AVE NE,SEATTLE,WA,98105.0,MERIDIAN BUILDERS INC,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6358055-CN,47.66419083,-122.3058052,"(47.66419083, -122.3058052)",,,,0,0.0,,,,,LR3,Congregate Housing,0.0,0,,Housing - Other,2013,2013,2014
